date,home,away,status,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
28-09-2013,Hoffenheim,Schalke 04,1,3,3,D,12,12,6,5,23,24,2,7,3,2,0,0
28-09-2013,Leverkusen,Hannover,1,2,0,H,19,8,8,2,12,17,4,9,0,0,0,0
29-09-2013,Braunschweig,Stuttgart,1,0,4,A,10,15,2,8,12,19,8,4,0,1,0,0
29-09-2013,Werder Bremen,Nurnberg,1,3,3,D,15,17,7,8,16,9,4,4,2,2,0,0
06-10-2013,Freiburg,Ein Frankfurt,1,1,1,D,13,11,4,5,12,20,7,10,3,2,0,1
06-10-2013,Nurnberg,Hamburg,1,0,5,A,7,16,2,13,16,15,5,4,1,0,0,0
05-10-2013,Leverkusen,Bayern Munich,1,1,1,D,5,27,3,11,15,8,2,14,1,1,0,0
05-10-2013,Mainz,Hoffenheim,1,2,2,D,17,14,8,5,23,16,7,1,2,2,0,0
05-10-2013,M'gladbach,Dortmund,1,2,0,H,6,27,3,8,8,9,1,9,2,2,0,1
05-10-2013,Schalke 04,Augsburg,1,4,1,H,13,10,6,3,9,10,2,3,1,3,0,1
05-10-2013,Stuttgart,Werder Bremen,1,1,1,D,20,7,6,2,11,9,13,1,1,2,0,0
05-10-2013,Wolfsburg,Braunschweig,1,0,2,A,17,7,3,3,21,26,7,2,2,3,0,0
04-10-2013,Hannover,Hertha,1,1,1,D,14,10,5,2,18,21,8,9,3,3,0,0
18-10-2013,Hoffenheim,Leverkusen,1,1,2,A,20,12,8,4,12,18,8,10,0,4,0,0
19-10-2013,Bayern Munich,Mainz,1,4,1,H,18,13,6,4,12,14,8,5,1,0,0,0
19-10-2013,Braunschweig,Schalke 04,1,2,3,A,14,14,4,6,13,21,1,9,0,1,0,0
19-10-2013,Dortmund,Hannover,1,1,0,H,18,10,8,5,11,15,10,2,1,3,0,0
19-10-2013,Ein Frankfurt,Nurnberg,1,1,1,D,15,10,3,4,22,14,6,1,2,3,0,0
19-10-2013,Hertha,M'gladbach,1,1,0,H,5,13,2,4,15,14,7,5,2,1,0,1
19-10-2013,Werder Bremen,Freiburg,1,0,0,D,18,11,4,2,21,12,7,8,1,2,0,0
20-10-2013,Augsburg,Wolfsburg,1,1,2,A,11,13,8,6,21,18,3,2,2,3,0,0
20-10-2013,Hamburg,Stuttgart,1,3,3,D,20,9,6,3,16,12,10,0,1,2,0,1
25-10-2013,Stuttgart,Nurnberg,1,1,1,D,10,7,4,6,11,15,2,4,2,1,0,0
26-10-2013,Bayern Munich,Hertha,1,3,2,H,13,10,5,5,10,13,4,5,3,4,0,0
26-10-2013,Hannover,Hoffenheim,1,1,4,A,11,10,3,5,21,11,8,1,3,2,2,0
26-10-2013,Leverkusen,Augsburg,1,2,1,H,24,11,7,1,7,9,13,7,1,3,0,0
26-10-2013,Mainz,Braunschweig,1,2,0,H,9,6,3,1,25,17,0,8,2,3,0,0
26-10-2013,Schalke 04,Dortmund,1,1,3,A,12,10,5,8,11,12,2,2,3,1,0,0
26-10-2013,Wolfsburg,Werder Bremen,1,3,0,H,19,8,12,2,12,17,5,4,1,2,0,0
27-10-2013,Freiburg,Hamburg,1,0,3,A,9,17,2,7,14,12,4,4,2,1,0,0
27-10-2013,M'gladbach,Ein Frankfurt,1,4,1,H,13,11,4,4,8,13,1,3,2,4,0,0
01-11-2013,Dortmund,Stuttgart,1,6,1,H,17,3,10,1,15,4,6,1,1,0,0,0
02-11-2013,Braunschweig,Leverkusen,1,1,0,H,17,16,7,8,12,21,4,4,2,2,0,1
02-11-2013,Ein Frankfurt,Wolfsburg,1,1,2,A,10,10,5,3,15,16,8,1,3,2,0,0
02-11-2013,Hamburg,M'gladbach,1,0,2,A,17,8,8,4,11,12,7,2,0,2,0,0
02-11-2013,Hertha,Schalke 04,1,0,2,A,18,11,9,5,21,18,6,4,3,1,0,0
02-11-2013,Hoffenheim,Bayern Munich,1,1,2,A,7,17,3,7,20,16,6,4,2,0,0,0
02-11-2013,Nurnberg,Freiburg,1,0,3,A,20,14,12,8,10,15,9,5,0,1,0,1
03-11-2013,Augsburg,Mainz,1,2,1,H,19,11,7,4,13,21,6,3,3,3,0,1
03-11-2013,Werder Bremen,Hannover,1,3,2,H,12,18,6,6,20,24,3,6,3,4,0,0
08-11-2013,Hannover,Braunschweig,1,0,0,D,19,8,6,1,27,16,6,2,1,1,0,0
09-11-2013,Bayern Munich,Augsburg,1,3,0,H,23,6,9,0,12,11,9,4,0,0,0,0
09-11-2013,Hoffenheim,Hertha,1,2,3,A,9,11,7,5,22,20,3,3,2,2,0,0
09-11-2013,Leverkusen,Hamburg,1,5,3,H,20,11,7,6,12,19,3,6,3,4,0,0
